gw,lc,ld,ang
FALSE,djo-x-dayakbaeih,ltr,Dayak Ba eih
FALSE,djo-x-dayakdarok,ltr,Dayak Darok
FALSE,djo-x-dayakkodatn,ltr,Dayak Kodatn
FALSE,djo-x-dayakpapak,ltr,
FALSE,djo-x-dayaksum,ltr,Dayak Sum
FALSE,djo-x-dayaktinying,ltr,Dayak Tinying
FALSE,djo-x-meranggau,ltr,Dayak Meranggau
FALSE,djo-x-pompang,ltr,Dayak Pompang
FALSE,djr,ltr,Djambarrpuyngu
FALSE,dju,ltr,Kapriman
FALSE,dka,ltr,Dakpakha
FALSE,dkk,ltr,Dakka
FALSE,dkr,ltr,Kuijau
FALSE,dks,ltr,"Dinka, Southeastern"
FALSE,dkx,ltr,Mazagway
FALSE,dlg,ltr,Dolgan
FALSE,dlk,ltr,Dahalik
FALSE,dlm,ltr,Dalmatian
FALSE,dln,ltr,Darlong
FALSE,dma,ltr,Duma
FALSE,dmb,ltr,"Dogon, Mombo"
FALSE,dmc,ltr,Gavak
FALSE,dme,ltr,Dugwor
FALSE,dmg,ltr,"Kinabatangan, Upper"
FALSE,dmk,ltr,Domaaki
FALSE,dml,ltr,Dameli
FALSE,dmm,ltr,Dama
FALSE,dmo,ltr,Kemedzung
FALSE,dmr,ltr,"Damar, East"
FALSE,dms,ltr,Dampelas
FALSE,dmu,ltr,Tebi
FALSE,dmv,ltr,Dumpas
FALSE,dmw,ltr,Mudburra
FALSE,dmx,ltr,Dema
FALSE,dmy,ltr,Sowari
FALSE,dna,ltr,"Dani, Upper Grand Valley"
FALSE,dnd,ltr,Daonda
FALSE,dne,ltr,Ndendeule
FALSE,dng,ltr,Dungan
FALSE,dni,ltr,"Dani, Lower Grand Valley"
FALSE,dnj,ltr,Dan
FALSE,dnk,ltr,Dengka
FALSE,dnk-x-laelete,ltr,Laelete
FALSE,dnn,ltr,Dzùùngoo
FALSE,dnr,ltr,Danaru
FALSE,dnr-x-kuaa,ltr,Kuaa
FALSE,dnt,ltr,"Dani, Mid Grand Valley"
FALSE,dnt-x-balimselatan,ltr,Hugula Balim Selatan
FALSE,dnt-x-balimtenga,ltr,Hugula Balim Tengah
FALSE,dnt-x-balimutara,ltr,Hugula Balim Utara
FALSE,dnu,ltr,Danau
FALSE,dnv,ltr,Danu
FALSE,dnw,ltr,"Dani, Western"
FALSE,dny,ltr,Dení
FALSE,doa,ltr,Dom
FALSE,dob,ltr,Dobu
FALSE,dob-x-gosiya,ltr,Gosiya
FALSE,dob-x-kaugehu,ltr,Kaugehu
FALSE,doc,ltr,"Dong, Northern"
FALSE,doe,ltr,Doe
FALSE,dof,ltr,Domu
FALSE,doh,ltr,Dong
FALSE,doi,ltr,Dogri
FALSE,dok,ltr,Dondo
FALSE,dol,ltr,Doso
FALSE,don,ltr,Toura
FALSE,doo,ltr,Dongo
FALSE,dop,ltr,Lukpa
FALSE,doq,ltr,Dominican Sign Language
FALSE,dor,ltr,Dori’o
FALSE,dos,ltr,Dogosé
FALSE,dot,ltr,Dass
FALSE,dov,ltr,Tonga
FALSE,dow,ltr,Doyayo
FALSE,dox,ltr,Bussa
FALSE,doy,ltr,Dompo
FALSE,doz,ltr,Dorze
FALSE,dpp,ltr,Papar
FALSE,drb,ltr,Dair
FALSE,drc,ltr,Minderico
FALSE,drd,ltr,Darmiya
FALSE,dre,ltr,Dolpo
FALSE,drg,ltr,Rungus
FALSE,drg-x-gonsomon,ltr,Gonsomon
FALSE,drg-x-pilapazan,ltr,Pilapazan
FALSE,dri,ltr,C’Lela
FALSE,drl,ltr,Paakantyi
FALSE,drn,ltr,"Damar, West"
FALSE,dro,ltr,"Melanau, Daro-Matu"
FALSE,drq,ltr,Dura
FALSE,drs,ltr,Gedeo
FALSE,drt,ltr,Drents
FALSE,dru,ltr,Rukai
FALSE,dry,ltr,Darai
FALSE,dsb,ltr,"Sorbian, Lower"
FALSE,dse,ltr,Sign Language of the Netherlands
FALSE,dsh,ltr,Daasanach
FALSE,dsi,ltr,Disa
FALSE,dsl,ltr,Danish Sign Language
FALSE,dsn,ltr,Dusner
FALSE,dso,ltr,Desiya
FALSE,dsq,ltr,Tadaksahak
FALSE,dta,ltr,Daur
FALSE,dtb,ltr,"Kadazan, Labuk-Kinabatangan"
FALSE,dtd,ltr,Ditidaht
FALSE,dti,ltr,"Dogon, Ana Tinga"
FALSE,dtk,ltr,"Dogon, Tene Kan"
FALSE,dtm,ltr,"Dogon, Tomo Kan"
FALSE,dto,ltr,"Dogon, Tommo So"
FALSE,dtp,ltr,"Dusun, Central"
FALSE,dtp-x-tindal,ltr,Tindal
FALSE,dtr,ltr,Lotud
FALSE,dts,ltr,"Dogon, Toro So"
FALSE,dtt,ltr,"Dogon, Toro Tegu"
FALSE,dtu,ltr,"Dogon, Tebul Ure"
FALSE,dty,ltr,Dotyali
FALSE,dua,ltr,Duala
FALSE,dub,ltr,Dubli
FALSE,duc,ltr,Duna
FALSE,dud,ltr,Hun-Saare
FALSE,due,ltr,"Agta, Umiray Dumaget"
FALSE,duf,ltr,Drubea
FALSE,dug,ltr,Chiduruma
FALSE,duh,ltr,Dungra Bhil
FALSE,dui,ltr,Dumun
FALSE,duj,ltr,Dhuwal
FALSE,duk,ltr,Uyajitaya
FALSE,duk-x-buai,ltr,Buai
FALSE,duk-x-duduela,ltr,Duduela
FALSE,dul,ltr,"Agta, Alabat Island"
FALSE,dum,ltr,Middle Dutch
FALSE,dun,ltr,Dusun Deyah
FALSE,duo,ltr,"Agta, Dupaninan"
FALSE,dup,ltr,Duano
FALSE,duq,ltr,Dusun Malang
FALSE,duq-x-dusunbayan,ltr,Dusun Bayan
FALSE,dur,ltr,Dii
FALSE,dus,ltr,Dumi
FALSE,duu,ltr,Drung
FALSE,duv,ltr,Duvle
FALSE,duw,ltr,Dusun Witu
FALSE,duw-x-dusunpepas,ltr,Dusun Pepas
FALSE,dux,ltr,Duungooma
FALSE,dv,rtl,"Divehi, Dhivehi, Maldivian"
FALSE,dva,ltr,Duau
FALSE,dwa,ltr,Diri
FALSE,dwr,ltr,Dawro
FALSE,dws,ltr,
FALSE,dww,ltr,Dawawa
FALSE,dya,ltr,Dyan
FALSE,dyi,ltr,"Sénoufo, Djimini"
FALSE,dym,ltr,"Dogon, Yanda Dom"
FALSE,dyo,ltr,Jola-Fonyi
FALSE,dyu,ltr,Jula
FALSE,dyy,ltr,Dyaabugay
FALSE,dz,ltr,Dzongkha
FALSE,dza,ltr,Tunzuii
FALSE,dzg,ltr,Dazaga
FALSE,dzl,ltr,Dzalakha
FALSE,dzn,ltr,Dzando
FALSE,eaa,ltr,Karenggapa
FALSE,ebg,ltr,Ebughu
FALSE,ebk,ltr,"Bontok, Eastern"
FALSE,ebo,ltr,Teke-Eboo
FALSE,ebr,ltr,Ebrié
FALSE,ebu,ltr,Kiembu
FALSE,ecr,ltr,Eteocretan
FALSE,ecs,ltr,Ecuadorian Sign Language
FALSE,ecy,ltr,Eteocypriot
FALSE,ee,ltr,Ewe
FALSE,eee,ltr,E
FALSE,efa,ltr,Efai
FALSE,efe,ltr,Efe
FALSE,efi,ltr,Efik
FALSE,ega,ltr,Ega
FALSE,egl,ltr,Emilian
FALSE,ego,ltr,Eggon
FALSE,egy,ltr,Egyptian
FALSE,ehu,ltr,Ehueun
FALSE,eip,ltr,Lik
FALSE,eit,ltr,Eitiep
FALSE,eiv,ltr,Askopan
FALSE,eja,ltr,Jola-Felupe
FALSE,eka,ltr,Ekajuk
FALSE,eke,ltr,Ekit
FALSE,ekg,ltr,Ekari
FALSE,eki,ltr,Eki
FALSE,ekk,ltr,"Estonian, Standard"
FALSE,ekl,ltr,Kol
FALSE,ekm,ltr,Elip
FALSE,eko,ltr,Koti
FALSE,ekp,ltr,Ekpeye
FALSE,ekr,ltr,Yace
FALSE,eky,ltr,"Kayah, Eastern"
FALSE,el,ltr,Greek (modern)
FALSE,ele,ltr,Elepi
FALSE,elh,ltr,El Hugeirat
FALSE,eli,ltr,Nding
FALSE,elk,ltr,Elkei
FALSE,elm,ltr,Eleme
FALSE,elo,ltr,El Molo
FALSE,elu,ltr,Elu
FALSE,elx,ltr,Elamite
FALSE,el-x-koine,ltr,
FALSE,ema,ltr,Emai-Iuleha-Ora
FALSE,ema-x-emai,ltr,
FALSE,ema-x-erah,ltr,Erah
FALSE,ema-x-ora,ltr,
FALSE,ema-x-ozalla,ltr,Ozalla
FALSE,ema-x-uokha,ltr,Uokha
FALSE,emb,ltr,Embaloh
FALSE,emb-x-kalis,ltr,
FALSE,eme,ltr,Emerillon
FALSE,emg,ltr,"Mewahang, Eastern"
FALSE,emi,ltr,Mussau-Emira
FALSE,emk,ltr,"Maninkakan, Eastern"
FALSE,emm,ltr,Mamulique
FALSE,emn,ltr,Eman
FALSE,emp,ltr,"Emberá, Northern"
FALSE,ems,ltr,"Yupik, Pacific Gulf"
FALSE,emu,ltr,"Muria, Eastern"
FALSE,emw,ltr,Emplawas
FALSE,emx,ltr,Erromintxela
FALSE,emy,ltr,
TRUE,en,ltr,English
FALSE,ena,ltr,Apali
FALSE,enb,ltr,Markweeta
FALSE,enc,ltr,En
FALSE,end,ltr,Ende
FALSE,enf,ltr,"Enets, Forest"
FALSE,enh,ltr,"Enets, Tundra"
FALSE,enl,ltr,Enlhet
FALSE,enm,ltr,Middle English
FALSE,enn,ltr,Engenni
FALSE,eno,ltr,Enggano
FALSE,enq,ltr,Enga
FALSE,enq-x-mai,ltr,Mai
FALSE,enr,ltr,Emem
FALSE,enu,ltr,Enu
FALSE,env,ltr,Enwan
FALSE,enw,ltr,Enwan
FALSE,enx,ltr,Enxet
FALSE,en-x-demo1,ltr,
FALSE,en-x-demo2,ltr,
FALSE,eo,ltr,Esperanto
FALSE,eot,ltr,Beti
FALSE,epi,ltr,Epie
FALSE,era,ltr,Eravallan
FALSE,erg,ltr,Sie
FALSE,erg-x-empack,ltr,Empack
FALSE,erg-x-enyeu,ltr,Enyeu
FALSE,erg-x-imaptap,ltr,Imaptap
FALSE,erg-x-potnariven,ltr,Potnariven
FALSE,erg-x-sorung,ltr,Sorung
FALSE,erg-x-yoku,ltr,Yoku
FALSE,erh,ltr,Eruwa
FALSE,eri,ltr,Ogea
FALSE,eri-x-marak,ltr,Marak
FALSE,erk,ltr,"Efate, South"
FALSE,erk-x-epang,ltr,Epang
FALSE,erk-x-erakor,ltr,Erakor
FALSE,erk-x-eratap,ltr,Eratap
FALSE,ero,ltr,Horpa
FALSE,ers,ltr,Ersu
FALSE,ert,ltr,Eritai
FALSE,erw,ltr,Erokwanas
TRUE,es,ltr,Spanish
TRUE,es-419,ltr,Latin American Spanish
FALSE,ese,ltr,Ese Ejja
FALSE,esh,ltr,Eshtehardi
FALSE,esi,ltr,"Inupiatun, North Alaskan"
FALSE,esk,ltr,"Inupiatun, Northwest Alaska"
FALSE,esl,ltr,Egyptian Sign Language
FALSE,esm,ltr,Esuma
FALSE,esn,ltr,Salvadoran Sign Language
FALSE,eso,ltr,Estonian Sign Language
FALSE,esq,ltr,Esselen
FALSE,ess,ltr,"Yupik, Central Siberian"
FALSE,esu,ltr,"Yupik, Central"
FALSE,esy,ltr,
FALSE,et,ltr,Estonian
FALSE,etb,ltr,Etebi
FALSE,etc,ltr,Etchemin
FALSE,eth,ltr,Ethiopian Sign Language
FALSE,etn,ltr,Eton
FALSE,eto,ltr,Eton
FALSE,etr,ltr,Edolo
FALSE,ets,ltr,Yekhee
FALSE,ett,ltr,Etruscan
FALSE,etu,ltr,Ejagham
FALSE,etx,ltr,Iten
FALSE,etz,ltr,Semimi
FALSE,eu,ltr,Basque
FALSE,eve,ltr,Even
FALSE,evh,ltr,Uvbie
FALSE,evn,ltr,Evenki
FALSE,ewo,ltr,Ewondo
FALSE,ext,ltr,Extremaduran
FALSE,eya,ltr,Eyak
FALSE,eyo,ltr,Keiyo
FALSE,eza,ltr,Ezaa
FALSE,eze,ltr,Uzekwe
TRUE,fa,rtl,Persian (Farsi)
FALSE,faa,ltr,Fasu
FALSE,fab,ltr,Fa d’Ambu
FALSE,fad,ltr,Wagi
FALSE,fad-x-kamba,ltr,Kamba
FALSE,faf,ltr,Fagani
FALSE,fag,ltr,Finongan
FALSE,fah,ltr,Fali of Baissa
FALSE,fai,ltr,Faiwol
FALSE,faj,ltr,Faita
FALSE,fak,ltr,Fang
FALSE,fal,ltr,"Fali, South"
FALSE,fam,ltr,Fam
FALSE,fan,ltr,Fang
FALSE,fan-x-malabo,ltr,Malabo Fang
FALSE,fap,ltr,Palor
FALSE,far,ltr,Fataleka
FALSE,far-x-iduleka,ltr,Iduleka
FALSE,fas-x-eastfars,ltr,Eastern Farsi
FALSE,fat,ltr,
FALSE,fau,ltr,Fayu
FALSE,fax,ltr,Fala
FALSE,fay,ltr,"Fars, Southwestern"
FALSE,faz,ltr,"Fars, Northwestern"
FALSE,fbl,ltr,"Bikol, West Albay"
FALSE,fcs,ltr,Quebec Sign Language
FALSE,fer,ltr,Feroge
FALSE,ff,ltr,"Fula, Fulah, Pulaar, Pular"
FALSE,ffi,ltr,Foia Foia
FALSE,ffm,ltr,"Fulfulde, Maasina"
FALSE,fgr,ltr,Fongoro
FALSE,fi,ltr,Finnish
FALSE,fia,ltr,Nobiin
FALSE,fie,ltr,Fyer
FALSE,fif,ltr,Faifi
FALSE,fij-x-koroalau,ltr,Koroalau
FALSE,fij-x-saqani,ltr,Saqani
FALSE,fij-x-vaturova,ltr,Vaturova
FALSE,fil,ltr,Filipino
FALSE,fip,ltr,Fipa
FALSE,fir,ltr,Firan
FALSE,fit,ltr,"Finnish, Tornedalen"
FALSE,fiw,ltr,Fiwaga
FALSE,fj,ltr,Fijian
FALSE,fkk,ltr,Kirya-Konzel
FALSE,fkv,ltr,"Finnish, Kven"
FALSE,fla,ltr,Kalispel-Pend d’Oreille
FALSE,flh,ltr,Foau
FALSE,fli,ltr,Fali
FALSE,fll,ltr,"Fali, North"
FALSE,flr,ltr,Fuliiru
FALSE,fly,ltr,Flaaitaal
FALSE,fmp,ltr,Fe’fe’
FALSE,fmu,ltr,"Muria, Far Western"
FALSE,fng,ltr,Pidgin Bantu
FALSE,fni,ltr,Fania
FALSE,fo,ltr,Faroese
FALSE,fod,ltr,Foodo
FALSE,foi,ltr,Foi
FALSE,fom,ltr,Foma
FALSE,fon,ltr,Fon
FALSE,for,ltr,Fore
FALSE,for-x-abomatasa,ltr,Abomatasa
FALSE,for-x-foreati,ltr,Fore Ati
FALSE,for-x-forepamusa,ltr,Pamusa
FALSE,for-x-kiya,ltr,Fore Kiya
FALSE,for-x-pamusa,ltr,Fore Pamusa
FALSE,fos,ltr,Siraya
FALSE,fpe,ltr,Equatorial Guinean Pidgin
FALSE,fqs,ltr,Fas
TRUE,fr,ltr,French
FALSE,frc,ltr,"French, Cajun"
FALSE,frd,ltr,Fordata
FALSE,frk,ltr,Frankish
FALSE,frm,ltr,Middle French
FALSE,fro,ltr,Old French
FALSE,frp,ltr,Arpitan
FALSE,frq,ltr,Forak
FALSE,frr,ltr,"Frisian, Northern"
FALSE,frs,ltr,"Saxon, East Frisian Low"
FALSE,frt,ltr,Fortsenal
FALSE,fse,ltr,Finnish Sign Language
FALSE,fsl,ltr,French Sign Language
FALSE,fss,ltr,Finland-Swedish Sign Language
FALSE,fub,ltr,"Fulfulde, Adamawa"
FALSE,fuc,ltr,Pulaar
FALSE,fud,ltr,"Futuna, East"
FALSE,fue,ltr,"Fulfulde, Borgu"
FALSE,fuf,ltr,Pular
FALSE,fuh,ltr,"Fulfulde, Western Niger"
FALSE,fui,ltr,"Fulfulde, Bagirmi"
FALSE,fuj,ltr,Ko
FALSE,fum,ltr,Fum
FALSE,fun,ltr,Iatê
FALSE,fuq,ltr,"Fulfulde, Central-Eastern Niger"
FALSE,fur,ltr,Friulian
FALSE,fut,ltr,Futuna-Aniwa
FALSE,fuu,ltr,Furu
FALSE,fuv,ltr,"Fulfulde, Nigerian"
FALSE,fuy,ltr,Fuyuge
FALSE,fvr,ltr,Fur
FALSE,fvr-SS-fur,ltr,Fur
FALSE,fvr-TD-fur,ltr,Fur
FALSE,fwa,ltr,Fwâi
FALSE,fwe,ltr,Fwe
FALSE,fy,ltr,Western Frisian
FALSE,ga,ltr,Irish
FALSE,gaa,ltr,Ga
FALSE,gab,ltr,Gabri
FALSE,gac,ltr,"Great Andamanese, Mixed"
FALSE,gad,ltr,Gaddang
FALSE,gae,ltr,Guarequena
FALSE,gaf,ltr,Gende
FALSE,gag,ltr,Gagauz
FALSE,gah,ltr,Alekano
FALSE,gah-x-lapigufimi,ltr,Lapigu Fimito
FALSE,gai,ltr,Mbore
FALSE,gaj,ltr,Gadsup
FALSE,gaj-x-aiyuree,ltr,Kasup Aijuree
FALSE,gaj-x-aygm,ltr,
FALSE,gaj-x-kamu,ltr,Gadsup Kamu
FALSE,gaj-x-kasupbina,ltr,Kasup Bina
FALSE,gaj-x-norikori,ltr,Norikori
FALSE,gaj-x-omaura,ltr,Gadsup Omaura
FALSE,gaj-x-urona,ltr,Gadsup Urona
FALSE,gaj-x-wandamo,ltr,Wandamo
FALSE,gaj-x-ymnk,ltr,
FALSE,gak,ltr,Gamkonora
FALSE,gal,ltr,Galolen
FALSE,gam,ltr,Kandawo
FALSE,gan,ltr,"Chinese, Gan"
FALSE,gao,ltr,Gants
FALSE,gap,ltr,Gal
FALSE,gaq,ltr,Gata’
FALSE,gar,ltr,Galeya
FALSE,gas,ltr,"Garasia, Adiwasi"
FALSE,gat,ltr,Kenati
FALSE,gau,ltr,"Gadaba, Mudhili"
FALSE,gaw,ltr,Nobonob
FALSE,gaw-x-arinai,ltr,Ari-Nai
FALSE,gax,ltr,"Oromo, Borana-Arsi-Guji"
FALSE,gay,ltr,Gayo
FALSE,gaz,ltr,"Oromo, West Central"
FALSE,gba,ltr,Gbaya
FALSE,gbb,ltr,Kaytetye
FALSE,gbd,ltr,Karadjeri
FALSE,gbe,ltr,Niksek
FALSE,gbf,ltr,Gaikundi
FALSE,gbg,ltr,Gbanziri
FALSE,gbh,ltr,"Gbe, Defi"
FALSE,gbi,ltr,Galela
FALSE,gbj,ltr,"Gadaba, Bodo"
FALSE,gbk,ltr,Gaddi
FALSE,gbl,ltr,Gamit
FALSE,gbm,ltr,Garhwali
FALSE,gbn,ltr,Mo’da
FALSE,gbo,ltr,"Grebo, Northern"
FALSE,gbp,ltr,Gbaya-Bossangoa
FALSE,gbq,ltr,Gbaya-Bozoum
FALSE,gbr,ltr,Gbagyi
FALSE,gbs,ltr,"Gbe, Gbesi"
FALSE,gbu,ltr,Gagadu
FALSE,gbv,ltr,Gbanu
FALSE,gbw,ltr,Gabi-Gabi
FALSE,gbx,ltr,"Gbe, Eastern Xwla"
FALSE,gby,ltr,Gbari
FALSE,gbz,ltr,"Dari, Zoroastrian"
FALSE,gcc,ltr,Mali
FALSE,gcd,ltr,Ganggalida
FALSE,gcf,ltr,Guadeloupean Creole French
FALSE,gcl,ltr,Grenadian Creole English
FALSE,gcn,ltr,Gaina
FALSE,gcr,ltr,Guianese Creole French
FALSE,gct,ltr,"German, Colonia Tovar"
FALSE,gd,ltr,"Scottish Gaelic, Gaelic"
FALSE,gda,ltr,"Lohar, Gade"
FALSE,gdb,ltr,"Gadaba, Pottangi Ollar"
FALSE,gdc,ltr,Gugu Badhun
FALSE,gdd,ltr,Gedaged
FALSE,gde,ltr,Gude
FALSE,gdf,ltr,Guduf-Gava
FALSE,gdg,ltr,Ga’dang
FALSE,gdh,ltr,Gadjerawang
FALSE,gdi,ltr,Gundi
FALSE,gdj,ltr,Gurdjar
FALSE,gdk,ltr,Gadang
FALSE,gdl,ltr,Dirasha
FALSE,gdm,ltr,Laal
FALSE,gdn,ltr,Umanakaina
FALSE,gdo,ltr,Ghodoberi
FALSE,gdq,ltr,Mehri
FALSE,gdr,ltr,Wipi
FALSE,gds,ltr,Ghandruk Sign Language
FALSE,gdu,ltr,Gudu
FALSE,gdx,ltr,Godwari
FALSE,gea,ltr,Geruma
FALSE,geb,ltr,Kire
FALSE,gec,ltr,"Grebo, Gboloo"
FALSE,ged,ltr,Gade
FALSE,geg,ltr,Gengle
FALSE,geh,ltr,Hutterisch
FALSE,gei,ltr,Gebe
FALSE,gej,ltr,Gen
FALSE,gek,ltr,Ywom
FALSE,gel,ltr,ut-Ma’in
FALSE,geq,ltr,Geme
FALSE,ges,ltr,Geser-Gorom
FALSE,gev,ltr,Eviya
FALSE,gew,ltr,Gera
FALSE,gex,ltr,Garre
FALSE,gey,ltr,Enya
FALSE,gez,ltr,Geez
FALSE,gfk,ltr,Patpatar
FALSE,gfk-x-hinsal,ltr,Hinsal
FALSE,gfk-x-sokirak,ltr,Sokirak
FALSE,gft,ltr,Gafat
FALSE,gga,ltr,Gao
FALSE,ggb,ltr,Gbii
FALSE,gge,ltr,Guragone
FALSE,ggg,ltr,Gurgula
FALSE,ggl,ltr,Ganglau
FALSE,ggn,ltr,"Gurung, Eastern"
FALSE,ggo,ltr,"Gondi, Southern"
FALSE,ggt,ltr,Gitua
FALSE,ggu,ltr,Gban
FALSE,ggw,ltr,Gogodala
FALSE,gha,ltr,Ghadamès
FALSE,ghc,ltr,Hiberno-Scottish Gaelic
FALSE,ghe,ltr,"Ghale, Southern"
FALSE,ghh,ltr,"Ghale, Northern"
FALSE,ghk,ltr,"Karen, Geko"
FALSE,ghl,ltr,Ghulfan
FALSE,ghn,ltr,Ghanongga
FALSE,gho,ltr,Ghomara
FALSE,ghr,ltr,Ghera
FALSE,ghs,ltr,Guhu-Samane
FALSE,ghs-x-biahonoo,ltr,Bia ho noo
FALSE,ghs-x-biawaria,ltr,Biawaria
FALSE,ght,ltr,Kuke
FALSE,gia,ltr,Kitja
FALSE,gib,ltr,Gibanawa
FALSE,gic,ltr,Gail
FALSE,gid,ltr,Gidar
FALSE,gie,ltr,Garo
FALSE,gig,ltr,Goaria
FALSE,gih,ltr,Githabul
FALSE,gil,ltr,Kiribati
FALSE,gim,ltr,Gimi
FALSE,gim-x-ibusakava,ltr,Ibusakava
FALSE,gim-x-ovavo,ltr,Ovavo
FALSE,gin,ltr,Hinukh
FALSE,gio,ltr,A’ou
FALSE,gio-x-naza,ltr,
FALSE,gip,ltr,Gimi
FALSE,giq,ltr,"Gelao, Green"
FALSE,gir,ltr,"Gelao, Red"
FALSE,gis,ltr,"Giziga, North"
FALSE,git,ltr,Gitxsan
FALSE,giu,ltr,Mulao
FALSE,giw,ltr,"Duoluo, White Gelao"
FALSE,gix,ltr,Gilima
FALSE,giy,ltr,Giyug
FALSE,giz,ltr,"Giziga, South"
FALSE,gji,ltr,Geji
FALSE,gjk,ltr,"Koli, Kachi"
FALSE,gjn,ltr,Gonja
FALSE,gju,ltr,Gujari
FALSE,gju-x-rajistani,ltr,
FALSE,gka,ltr,Guya
FALSE,gke,ltr,Ndai
FALSE,gkn,ltr,Gokana
FALSE,gkp,ltr,"Kpelle, Guinea"
FALSE,gl,ltr,Galician
FALSE,glb,ltr,Belning
FALSE,glc,ltr,Bon Gula
FALSE,gld,ltr,Nanai
FALSE,glh,ltr,"Pashai, Northwest"
FALSE,glj,ltr,Gula Iro
FALSE,glk,rtl,Gilaki
FALSE,glo,ltr,Galambu
FALSE,glr,ltr,Glaro-Twabo
FALSE,glu,ltr,Gula
FALSE,glw,ltr,Glavda
FALSE,gly,ltr,Gule
FALSE,gmb,ltr,Gula’alaa
FALSE,gmd,ltr,Mághdì
FALSE,gmg,ltr,Magiyi
FALSE,gmh,ltr,Middle High German
FALSE,gml,ltr,Middle Low German
FALSE,gmm,ltr,Gbaya-Mbodomo
FALSE,gmn,ltr,Gimnime
FALSE,gmu,ltr,Gumalu
FALSE,gmv,ltr,Gamo
FALSE,gmx,ltr,Magoma
FALSE,gmy,ltr,Mycenaean Greek
FALSE,gmz,ltr,Mgbolizhia
FALSE,gn,ltr,Guaraní
FALSE,gna,ltr,Kaansa
FALSE,gnb,ltr,Gangte
FALSE,gnc,ltr,Guanche
FALSE,gnd,ltr,Zulgo-Gemzek
FALSE,gne,ltr,Ganang
FALSE,gng,ltr,Ngangam
FALSE,gnh,ltr,Lere
FALSE,gni,ltr,Gooniyandi
FALSE,gnk,ltr,||Gana
FALSE,gnm,ltr,Ginuman
FALSE,gnn,ltr,Gumatj
FALSE,gno,ltr,"Gondi, Northern"
FALSE,gno-x-rajgondi,ltr,Raj Gondi
FALSE,gnq,ltr,Gana
FALSE,gnr,ltr,Gureng Gureng
FALSE,gnt,ltr,Guntai
FALSE,gnu,ltr,Gnau
FALSE,gnw,ltr,"Guaraní, Western Bolivian"
FALSE,gnz,ltr,Ganzi
FALSE,goa,ltr,Guro
FALSE,gob,ltr,Playero
FALSE,goc,ltr,Gorakor
FALSE,god,ltr,Godié
FALSE,goe,ltr,Gongduk
FALSE,gof,ltr,Gofa
FALSE,gog,ltr,Gogo
FALSE,goh,ltr,Old High German
FALSE,goi,ltr,Gobasi
FALSE,goj,ltr,Gowlan
FALSE,gok,ltr,Gowli
FALSE,gol,ltr,Gola
FALSE,gom,ltr,"Konkani, Goan"
FALSE,gon,ltr,
FALSE,gon-x-mariagond,ltr,Maria Gond
FALSE,goo,ltr,Gone Dau
FALSE,gop,ltr,Yeretuar
FALSE,goq,ltr,Gorap
FALSE,gor,ltr,Gorontalo
FALSE,gos,ltr,Gronings
FALSE,got,ltr,Gothic
FALSE,gou,ltr,Gavar
FALSE,gow,ltr,Gorowa
FALSE,gox,ltr,Gobu
FALSE,goy,ltr,Goundo
FALSE,goz,ltr,Gozarkhani
FALSE,gpa,ltr,Gupa-Abawa
FALSE,gpe,ltr,Ghanaian Pidgin English
FALSE,gpn,ltr,Taiap
FALSE,gqa,ltr,Ga’anda
FALSE,gqa-x-kabinda,ltr,
FALSE,gqi,ltr,Guiqiong
FALSE,gqn,ltr,Guana
FALSE,gqr,ltr,Gor
FALSE,gqu,ltr,Qau
FALSE,gra,ltr,"Garasia, Rajput"
FALSE,grb,ltr,Grebo
FALSE,grc,ltr,Ancient Greek
FALSE,grd,ltr,Guruntum-Mbaaru
FALSE,grg,ltr,Madi
FALSE,grh,ltr,Gbiri-Niragu
FALSE,gri,ltr,Ghari
FALSE,grj,ltr,"Grebo, Southern"
FALSE,grm,ltr,Kota Marudu Talantang
FALSE,gro,ltr,Groma
FALSE,grq,ltr,Gorovu
FALSE,grr,rtl,Taznatit
FALSE,grr-x-figuigber,ltr,Figuig Berber
FALSE,grs,ltr,Gresi
FALSE,grt,ltr,Garo
FALSE,gru,ltr,Kistane
FALSE,grv,ltr,"Grebo, Central"
FALSE,grw,ltr,Gweda
FALSE,grx,ltr,Guriaso
FALSE,gry,ltr,"Grebo, Barclayville"
FALSE,grz,ltr,Guramalum
FALSE,gse,ltr,Ghanaian Sign Language
FALSE,gsg,ltr,German Sign Language
FALSE,gsl,ltr,Gusilay
FALSE,gsm,ltr,Guatemalan Sign Language
FALSE,gsn,ltr,Gusan
FALSE,gso,ltr,"Gbaya, Southwest"
FALSE,gsp,ltr,Wasembo
FALSE,gss,ltr,Greek Sign Language
FALSE,gsw,ltr,"German, Swiss"
FALSE,gta,ltr,Guató
TRUE,gu,ltr,Gujarati
FALSE,gua,ltr,Shiki
FALSE,gub,ltr,Guajajára
FALSE,guc,ltr,Wayuu
FALSE,gud,ltr,"Dida, Yocoboué"
FALSE,gud-x-meehiri,ltr,Menehiri
FALSE,gue,ltr,Gurinji
FALSE,guf,ltr,Gupapuyngu
FALSE,gug,ltr,"Guaraní, Paraguayan"
FALSE,guh,ltr,Guahibo
FALSE,gui,ltr,"Guaraní, Eastern Bolivian"
FALSE,guk,ltr,Gumuz
FALSE,gul,ltr,Sea Island Creole English
FALSE,gum,ltr,Guambiano
